scene_id,scene_title,world,act,start_timecode,end_timecode,duration_sec,location,characters_present,key_objects,dominant_color,description,chronological_order,notes
11,Mr Roque Shuts Everything Down,dream,act1,00:31:00,00:33:00,120,roque_office,"mr_roque,assistant",phones,red,"After Adam refuses, Mr. Roque orders 'Shut everything down'",NA,"Suicide metaphor - 'shut everything down' is Diane contemplating suicide"
12,Joe & Ed - Black Book Murder,dream,act1,00:33:00,00:39:00,360,office,"joe_messing,ed",black_book_gun,brown_drab,"Hitman Joe accidentally kills Ed and two bystanders trying to steal the black book containing prostitution call list",NA,"Joe is the hitman Diane hires - revealed as comically incompetent in dream"
13,Betty Calls Aunt Ruth / Rita Wakes,dream,act1,00:39:00,00:42:00,180,havenhurst_apartment,"betty,rita,aunt_ruth_phone",coffee_couch,warm_pink,"Betty pretends to Aunt Ruth that all is well, decides to help Rita find her identity",NA,"Betty embraces investigation 'like in the movies'"
14,Adam Discovers Wifes Affair,dream,act1,00:42:00,00:43:00,60,adams_house,"adam,lorraine,gene_pool_man",pink_paint,pink_red,"Adam comes home, finds wife Lorraine in bed with pool man Gene; pours pink paint in her jewelry box",NA,"Adam getting humiliated mirrors Diane's humiliation"
15,Adam Speaks With Cynthia,dream,act1,00:43:00,00:44:30,90,production_office,"adam,cynthia",phone,office_neutral,"Adam learns from secretary Cynthia he's been fired and is broke",NA,"Adam loses everything - dream punishment"
16,Detective Visits Diane's Apartment,dream,act2,00:44:30,00:50:00,330,sierra_bonita_apt12,"betty,rita,detectives",apartment_listing,muted,"Betty and Rita see news about accident; phone tracing scene; phone call to D. Hingle (Diane Selwyn)",NA,"Phone call to Diane's actual apartment from dream"
17,Cowboy Meets Adam,dream,act2,00:50:00,00:54:00,240,corral_at_top_of_hill,"adam,cowboy",none,western_brown,"The Cowboy delivers cryptic ultimatum: 'You will see me one more time if you do good. You will see me two more times if you do bad'",NA,"Mythic figure - represents Diane's attempt at smarter persona"
18,Betty Finds Money & Blue Key,dream,act2,00:54:00,00:57:00,180,aunt_ruth_apartment,"betty,rita","money_bag,blue_key",pink_white,"Rita reveals to Betty huge amount of cash and a strange blue key in her purse",NA,"Blue key central symbol introduced - signifies Camilla's death in real world"
19,Betty's Audition,dream,act2,00:57:00,01:08:00,660,production_office,"betty,wally_brown,bob_brooker,woody_katz,linney_james","script,coffee",professional_neutral,"Betty does shockingly powerful audition with sleazy actor Woody for Wally's project; impresses casting director Linney",NA,"Reveals childhood sexual abuse subtext: 'I hate you. I hate us both!' - script implies abuse by father's friend"
20,Set of The Sylvia North Story,dream,act2,01:08:00,01:13:00,300,movie_set,"betty,linney,adam,camilla_blond,actresses",playback_microphone,studio_lights,"Linney brings Betty to Adam's set; Adam locks eyes with Betty; Camilla Rhodes (blonde) lip-syncs '16 Reasons'",NA,"Adam choosing the wrong Camilla - dream revenge for real-world rejection"
21,Dianes Apartment Detective Search,dream,act2,01:13:00,01:18:00,300,sierra_bonita_apt12_17,"betty,rita,coco_apt,grouchy_neighbor",apartment_keys,muted_blue,"Betty and Rita investigate Diane Selwyn's apartment, knock on door of #17 then #12",NA,"Apartments switched - this is the swap with neighbor"
22,Discovery of Dead Diane,dream,act2,01:18:00,01:21:00,180,apartment_12_bedroom,"betty,rita,corpse",dead_body,death_blue_grey,"Betty and Rita find rotting corpse on bed - Diane's dead body, foreshadowing the suicide ending",NA,"Same bed as opening pillow shot. Diane sees herself dead"
23,Rita Cuts Hair / Wears Wig,dream,act2,01:21:00,01:25:00,240,havenhurst_apartment,"betty,rita","blonde_wig,scissors",pink_white,"Rita transforms into Betty's double with blonde wig; they make love",NA,"Rita merges with Betty - identity dissolving"
24,Club Silencio,dream,act3,01:25:00,01:39:00,840,club_silencio_theater,"betty,rita,magician,rebekah_del_rio,blue_haired_lady","blue_box,microphone",red_curtains_blue,"Magician declares 'No hay banda - it is all an illusion'; Rebekah del Rio sings 'Llorando' (Crying); Betty finds blue box in purse",NA,"Climactic revelation scene - 'It's all illusion'. del Rio collapses while singing continues"
25,Blue Box Opens Apartment,dream,act3,01:39:00,01:43:00,240,havenhurst_apartment,"betty,rita,aunt_ruth_briefly","blue_key,blue_box",blue_dark,"Betty disappears as Rita opens blue box; box falls empty; Aunt Ruth checks empty room",NA,"Dream ends. Betty/Diane personality dissolves. Blue box = locked truth"
26,Diane Wakes Up,reality,act3,01:43:00,01:47:00,240,sierra_bonita_apt17_diane_bedroom,"diane,cowboy_briefly",bed_pillow,grey_natural_morning,"The Cowboy says 'Hey pretty girl, time to wake up'; Diane wakes wearing same robe",26,"Reality begins. Same pillow as opening fall. Cowboy's 'one more time if good'"
27,Diane on Couch / Camilla Hallucination,reality,act3,01:47:00,01:49:30,150,sierra_bonita_apt17,"diane,camilla_hallucination",coffee_robe_ashtray,grey_natural,"Diane sees Camilla on couch then realizes hallucination; grumpy neighbor returns to retrieve dishes",27,"Lynch's clue #6: notice robe, ashtray, coffee cup"
28,Movie Set Affair Flashback,reality,flashback,01:49:30,01:52:30,180,movie_set,"diane,camilla_brunette,adam,actresses_lovers",none,studio_natural,"Flashback: Camilla kisses Adam on set in front of Diane; humiliation",3,"The real moment of betrayal"
29,Camilla Breakup on Couch,reality,flashback,01:52:30,01:54:00,90,sierra_bonita_apt17,"diane,camilla_brunette",none,grey_natural,"Camilla breaks up with Diane on couch / Diane forces herself on Camilla",4,"Forced sexual encounter / breakup"
30,Diane Masturbating on Couch,reality,flashback,01:54:00,01:55:30,90,sierra_bonita_apt17,"diane",ashtray,grey_natural,"Diane masturbates while crying; bitter emotion",6,"Self-destructive scene. Lynch clue: 'watch what Diane is wearing'"
31,Camilla's Phone Call Invitation,reality,flashback,01:55:30,01:57:00,90,sierra_bonita_apt17,"diane,camilla_phone,limo_driver",red_lampshade,red,"Phone rings - Camilla invites Diane to Adam's house party. Limo arrives",5,"Lynch clue #2: Notice red lampshade. Limo ride that becomes the dream's opening"
32,Limo Ride to Adams House,reality,flashback,01:57:00,01:59:00,120,mulholland_drive_limo,"diane,driver,camilla_blond_briefly",none,blue_night,"Diane in limo, says 'We don't stop here'; Camilla appears, leads her up secret path",7,"Same words as dream limo scene; this is the actual event"
33,Adams House Dinner Party,reality,flashback,01:59:00,02:09:00,600,adam_kesher_house,"diane,camilla_brunette,adam,coco_adams_mom,castigliane_brothers,cowboy,camilla_blond,wally_brown","espresso_cup,cigarettes",warm_dinner_amber,"Diane meets Adam's mom Coco; Camilla and the blonde Camilla kiss; engagement announcement; the Cowboy walks past; Diane breaks down crying",8,"All the dream personas seen as real people; engagement is the trigger"
34,Diane Meets Hitman at Winkies,reality,flashback,02:09:00,02:14:00,300,winkies_diner,"diane,joe_messing,waitress_diane,dan_briefly","blue_key,money,photo",winkies_neon,"Diane hires hitman Joe; he says 'when it's done you'll find this' showing blue key; Dan looks over",9,"This is what triggers Dan's dream sequence at start of film"
35,Diane Returns to Apartment / Sees Key,reality,act3_climax,02:14:00,02:16:30,150,sierra_bonita_apt17,"diane,blue_key",blue_key,natural_light,"Diane sits on couch, sees blue key on coffee table - the murder is done",10,"Realization moment - Camilla is actually dead"
36,Demons Appear / Diane Suicide,reality,climax,02:16:30,02:19:00,150,sierra_bonita_apt17_bedroom,"diane,grandfather_demon,grandmother_demon",gun_pillow,grey_horror,"Old couple emerge as demons from blue box; chase Diane to bedroom; she shoots herself in head; smoke appears",11,"Suicide with gun. Demons from blue box represent abusive past"
37,Silencio - Final Image,coda,ending,02:19:00,02:22:00,180,club_silencio_theater,"blue_haired_lady,betty_rita_apparition","none",blue_smoke,"Final image: Betty and Rita appear over LA skyline; blue-haired lady whispers 'Silencio'",12,"Closing word. Hamlet's 'rest is silence'. End"
